noc_2021,aioe,caioe,groupmean,noc_title,exposure_level,comp_level,quadrant,label
14400,5.698171242,4.455653346,0.566388889,Shippers and receivers,Low Exposure,Low Complementarity,LE-LC,NA
14401,5.490511607,4.525096649,0.524166667,Storekeepers and partspersons,Low Exposure,Low Complementarity,LE-LC,NA
21112,5.943252743,4.511247605,0.585069444,"Agricultural representatives, consultants and specialists",Low Exposure,Low Complementarity,LE-LC,NA
22112,5.85443334,3.610888657,0.7325,Forestry technologists and technicians,Low Exposure,High Complementarity,LE-HC,NA
22114,5.212270823,4.365276815,0.510833333,Landscape and horticulture technicians and specialists,Low Exposure,Low Complementarity,LE-LC,NA
22230,5.922356876,4.396602514,0.605833333,Non-destructive testers and inspectors,Low Exposure,Low Complementarity,LE-LC,NA
22231,5.923692386,4.051855669,0.66375,Engineering inspectors and regulatory officers,Low Exposure,High Complementarity,LE-HC,NA
22311,5.793745084,4.000438539,0.658472222,Electronic service technicians (household and business equipment),Low Exposure,High Complementarity,LE-HC,NA
22312,5.924871962,4.175646898,0.640925926,Industrial instrument technicians and mechanics,Low Exposure,High Complementarity,LE-HC,NA
22313,5.968914526,4.402508656,0.611111111,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",Low Exposure,Low Complementarity,LE-LC,NA
31201,5.948406252,3.559129741,0.75,Chiropractors,Low Exposure,High Complementarity,LE-HC,NA
31202,5.863692719,3.348820064,0.777222222,Physiotherapists,Low Exposure,High Complementarity,LE-HC,NA
32101,5.8134515,4.137239651,0.636666667,Licensed practical nurses,Low Exposure,High Complementarity,LE-HC,NA
32102,5.660511188,3.746943934,0.686388889,Paramedical occupations,Low Exposure,High Complementarity,LE-HC,NA
32109,5.939528393,4.401509341,0.60770202,Other technical occupations in therapy and assessment,Low Exposure,Low Complementarity,LE-LC,NA
32110,5.95284375,3.282331901,0.796944444,Denturists,Low Exposure,High Complementarity,LE-HC,Denturists
32111,5.813774578,4.455612239,0.581944444,Dental hygienists and dental therapists,Low Exposure,Low Complementarity,LE-LC,NA
32112,5.960452914,4.938897511,0.519722222,Dental technologists and technicians,Low Exposure,Low Complementarity,LE-LC,NA
32121,5.917956965,4.264981415,0.627638889,Medical radiation technologists,Low Exposure,High Complementarity,LE-HC,NA
32122,5.915555518,4.525399971,0.583333333,Medical sonographers,Low Exposure,Low Complementarity,LE-LC,NA
32124,5.93628949,4.01564535,0.671111111,Pharmacy technicians,Low Exposure,High Complementarity,LE-HC,NA
32129,5.93628949,4.01564535,0.671111111,Other medical technologists and technicians,Low Exposure,High Complementarity,LE-HC,NA
32201,5.374356796,4.124818841,0.580833333,Massage therapists,Low Exposure,Low Complementarity,LE-LC,NA
33100,5.900693731,4.56082782,0.575972222,Dental assistants and dental laboratory assistants,Low Exposure,Low Complementarity,LE-LC,NA
33101,5.9432616,4.45765162,0.598611111,Medical laboratory assistants and related technical occupations,Low Exposure,Low Complementarity,LE-LC,NA
33102,5.809991435,4.428981618,0.587301587,"Nurse aides, orderlies and patient service associates",Low Exposure,Low Complementarity,LE-LC,NA
33103,5.884879628,4.329769151,0.611979167,Pharmacy technical assistants and pharmacy assistants,Low Exposure,Low Complementarity,LE-LC,NA
40040,5.947886023,3.416730082,0.773888889,Commissioned police officers and related occupations in public protection services,Low Exposure,High Complementarity,LE-HC,NA
40041,5.720581295,3.147908763,0.798055556,Fire chiefs and senior firefighting officers,Low Exposure,High Complementarity,LE-HC,NA
42100,5.760064855,3.490125382,0.742083333,Police officers (except commissioned),Low Exposure,High Complementarity,LE-HC,NA
42101,5.676381746,3.434848883,0.743944444,Firefighters,Low Exposure,High Complementarity,LE-HC,Firefighters
43200,5.732806708,3.944183221,0.660555556,Sheriffs and bailiffs,Low Exposure,High Complementarity,LE-HC,NA
43201,5.618266032,3.753313835,0.680277778,Correctional service officers,Low Exposure,High Complementarity,LE-HC,NA
43202,5.969503326,4.459371236,0.601180556,By-law enforcement and other regulatory officers,Low Exposure,Low Complementarity,LE-LC,NA
44100,5.888368052,4.332676649,0.612638889,Home child care providers,Low Exposure,Low Complementarity,LE-LC,Child care providers
44101,5.77655005,4.600380276,0.551944444,"Home support workers, caregivers and related occupations",Low Exposure,Low Complementarity,LE-LC,NA
45100,5.812465396,4.240122141,0.61875,"Student monitors, crossing guards and related occupations",Low Exposure,High Complementarity,LE-HC,NA
52110,5.83309117,4.322968678,0.607222222,Film and video camera operators,Low Exposure,Low Complementarity,LE-LC,NA
52119,5.828815853,4.362759016,0.599861111,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",Low Exposure,Low Complementarity,LE-LC,NA
53110,5.946157338,4.365470512,0.614166667,Photographers,Low Exposure,High Complementarity,LE-HC,NA
53111,5.761055988,4.44213515,0.579513889,"Motion pictures, broadcasting, photography and performing arts assistants and operators",Low Exposure,Low Complementarity,LE-LC,NA
53120,4.83117283,3.705241162,0.581388889,Dancers,Low Exposure,Low Complementarity,LE-LC,Dancers
53121,5.790803512,4.843188694,0.507638889,"Actors, comedians and circus performers",Low Exposure,Low Complementarity,LE-LC,NA
53122,5.778077737,5.14730425,0.4575,"Painters, sculptors and other visual artists",Low Exposure,Low Complementarity,LE-LC,NA
53124,5.833884266,4.663184931,0.548277778,Artisans and craftspersons,Low Exposure,Low Complementarity,LE-LC,NA
53200,5.216758485,3.735778715,0.632222222,Athletes,Low Exposure,High Complementarity,LE-HC,NA
54100,5.630436232,3.929604644,0.649166667,"Program leaders and instructors in recreation, sport and fitness",Low Exposure,High Complementarity,LE-HC,NA
55109,5.475314746,5.038810487,0.428055556,Other performers,Low Exposure,Low Complementarity,LE-LC,NA
62020,5.918487711,4.044299936,0.665,Food service supervisors,Low Exposure,High Complementarity,LE-HC,NA
62021,5.795825081,4.214852795,0.621111111,Executive housekeepers,Low Exposure,High Complementarity,LE-HC,NA
62024,5.795825081,4.214852795,0.621111111,Cleaning supervisors,Low Exposure,High Complementarity,LE-HC,NA
62200,5.901226374,3.875138652,0.691666667,Chefs,Low Exposure,High Complementarity,LE-HC,Chefs
62201,5.827027349,3.557627037,0.738055556,Funeral directors and embalmers,Low Exposure,High Complementarity,LE-HC,NA
62202,5.955022783,4.955738295,0.516222222,"Jewellers, jewellery and watch repairers and related occupations",Low Exposure,Low Complementarity,LE-LC,NA
63200,5.724964128,4.64109973,0.537555556,Cooks,Low Exposure,Low Complementarity,LE-LC,NA
63201,5.596899916,4.406003989,0.561111111,Butchers - retail and wholesale,Low Exposure,Low Complementarity,LE-LC,NA
63202,5.860904262,4.827105871,0.524722222,Bakers,Low Exposure,Low Complementarity,LE-LC,NA
63210,5.716365973,4.257661786,0.603472222,Hairstylists and barbers,Low Exposure,Low Complementarity,LE-LC,NA
63211,5.933080109,4.652735137,0.562916667,"Estheticians, electrologists and related occupations",Low Exposure,Low Complementarity,LE-LC,NA
63220,5.640286769,4.864747338,0.485833333,Shoe repairers and shoemakers,Low Exposure,Low Complementarity,LE-LC,NA
63221,5.442407124,4.678958346,0.488611111,Upholsterers,Low Exposure,Low Complementarity,LE-LC,NA
64200,5.789534627,4.750634802,0.527777778,"Tailors, dressmakers, furriers and milliners",Low Exposure,Low Complementarity,LE-LC,NA
64201,5.883265754,4.391481569,0.598472222,"Image, social and other personal consultants",Low Exposure,Low Complementarity,LE-LC,NA
64301,5.756919704,5.018115009,0.476666667,Bartenders,Low Exposure,Low Complementarity,LE-LC,NA
64311,5.621125335,3.599079925,0.706944444,Pursers and flight attendants,Low Exposure,High Complementarity,LE-HC,NA
64322,5.924543618,3.974381343,0.6775,Outdoor sport and recreational guides,Low Exposure,High Complementarity,LE-HC,NA
64401,5.87573802,4.946907117,0.506111111,Postal services representatives,Low Exposure,Low Complementarity,LE-LC,NA
64410,5.844485653,4.275042406,0.617222222,Security guards and related security service occupations,Low Exposure,High Complementarity,LE-HC,NA
65100,5.922752488,5.216957816,0.4675,Cashiers,Low Exposure,Low Complementarity,LE-LC,Cashiers
65101,5.723107993,3.793148797,0.685555556,Service station attendants,Low Exposure,High Complementarity,LE-HC,NA
65102,5.490511607,4.525096649,0.524166667,"Store shelf stockers, clerks and order fillers",Low Exposure,Low Complementarity,LE-LC,NA
65200,5.438765246,4.587396642,0.503402778,Food and beverage servers,Low Exposure,Low Complementarity,LE-LC,NA
